job_name,company_add,month,salary_min,salary_max,record,company_name,company_type,scope,tag,welfare
集成开发工程师（全国出差）-GBS,广州,4,13000,24000,大专,远光软件,计算机软件,1000-9999人,Java，MVC，Web Servic，J2EE,意外险，通讯补贴，带薪年假，餐补，五险一金，职业双通道，定期体检，员工旅游，节日福利，年终奖
JAVA开发工程师,杭州,4,12000,24000,本科,恒生电子,互联网金融,1000-9999人,Shell，分布式技术，MVC开发，Spring，Dubbo，Redis，后端开发，Linux,通讯补贴，节日福利，补充医疗保险，年终奖，股票期权，带薪年假，交通补助，免费班车，定期体检，五险一金，零食下午茶，餐补，双休，员工旅游
Java开发工程师,杭州,4,18000,25000,本科,传化智联,互联网,10000人以上,Spring，Dubbo，SpringBoot，SpringCloud，SpringMVC，Oracle，Redis，SQL,住房补贴，餐补，定期体检，通讯补贴，年终奖，免费班车，零食下午茶，五险一金，节日福利，带薪年假
Java（南宁）,南宁,3,9000,14000,本科,软通动力,计算机软件,10000人以上,Java，JavaScript，CSS，MVC开发，服务器配置，搜索引擎技术，负载均衡技术，Spring,带薪年假，团建活动，五险一金，定期体检，节日福利，零食下午茶，加班补助
java架构师,北京,3,35000,40000,本科,元年科技,计算机软件,1000-9999人,分布式技术，多线程，微服务架构，数据结构，容器技术，Spring，架构师，SQL,节日福利，零食下午茶，餐补，带薪年假，员工旅游，补充医疗保险，通讯补贴，定期体检，股票期权，加班补助，年终奖，通讯补贴，五险一金
JAVA工程师（J11564）,上海,4,15000,20000,本科,房多多,互联网,1000-9999人,CSS，多线程，服务器配置，微服务架构，网络协议，数据结构，Spring，MySQL,员工旅游，加班补助，五险一金，年终奖，交通补助，餐补，带薪年假，定期体检，股票期权，节日福利
Java中/高级研发工程师,北京,10,20000,40000,本科,云从科技,计算机软件,1000-9999人,Java，分布式技术，容器技术，消息队列，架构师，人工智能，Spring,零食下午茶，餐补，五险一金，带薪年假，节日福利，年终奖，免费班车
java工程师,唐山,11,6000,10000,本科,南威软件,计算机软件,1000-9999人,Java，CSS,员工旅游，通讯补贴，节日福利，餐补，五险一金，交通补助，带薪年假，定期体检，年终奖
Java开发工程师（苏州）,苏州,2,10000,15000,本科,企企通,企业服务,500-999人,Java，SpringBoot，区块链，分布式技术，微服务架构,五险一金，带薪年假，通讯补贴，节日福利，零食下午茶
大学Java讲师+双休,郑州,12,6000,8000,本科,打造前程,互联网,500-999人,Java，SQL，CSS，Shell，MySQL，Linux,节日福利，员工旅游，学历补贴，年终奖，零食下午茶，全勤奖，带薪年假，五险一金
高级Java开发工程师,广州,4,20000,35000,本科,探迹,互联网,1000-9999人,Spring，Dubbo，MySQL，SpringBoot，SpringCloud，MongoDB，后端开发，高级软件工程师,带薪年假，年终奖，定期体检，员工旅游，定期团建，节日福利，股票期权，全勤奖，餐补，五险一金，加班补助，零食下午茶
java技术经理,北京,1,20000,40000,本科,北京千喜鹤公司,餐饮,10000人以上,Java，网络协议，搜索引擎技术，Spring，MySQL，NoSQL，计算机软件，SpringMVC,五险一金，通讯补贴，交通补助，节日福利，住房补贴
电话客服,贵阳,3,4000,6000,大专,货车帮,互联网,1000-9999人,电话客服，在线客服,股票期权，年终奖，员工公寓，节日福利，零食下午茶，定期体检，五险一金，餐补，住房补贴，免费班车，带薪年假，员工旅游，交通补助
Java,广州,3,10000,15000,大专,和宇健康,计算机软件,500-999人,Java，SQL，Oracle，Dubbo，SpringBoot，Struts，Spring，Hibernate,出差补贴，团建，节日福利，办公环境优美，餐补，周末双休，全勤奖，五险一金
Java开发工程师,杭州,2,10000,15000,本科,巨星科技-(土猫网),互联网,1000-9999人,SQL Server，SpringBoot，Spring，Linux，MySQL，中级软件工程师，软件工程师,年终奖，免费班车，员工旅游，餐补，交通补助，定期体检，餐补，带薪年假，节日福利，住房补贴，五险一金，带薪年假
Java开发工程师,合肥,4,7000,12000,大专,网新恩普,互联网,500-999人,Spring，Hibernate，Struts，计算机软件,免费班车，交通补助，员工旅游，餐补，带薪年假，节日福利，通讯补贴，五险一金，定期体检，年终奖
JAVA高级开发工程师-indigo,北京,1,25000,50000,本科,BIGO,移动互联网,1000-9999人,Java，Python，数据处理,定期体检，餐补，五险一金，股票期权，全勤奖，加班补助，年终奖，补充医疗保险，零食下午茶，住房补贴，员工旅游，带薪年假
java开发,北京,4,13000,25000,大专,尚博信,计算机软件,500-999人,分布式技术，微服务，SpringCloud，SpringBoot，Redis，Linux，Maven，GIT,带薪年假，定期体检，员工旅游，节日福利，零食下午茶，五险一金
Java开发工程师,上海,3,12000,17000,本科,安硕信息技术,计算机软件,1000-9999人,Spring，Struts，Eclipse，计算机软件,定期体检，五险一金，股票期权，餐补，节日福利，带薪年假，住房补贴，年终奖，通讯补贴，交通补助
JAVA高级开发工程师,北京,11,15000,25000,本科,惠买集团,电子商务,1000-9999人,Java，JavaScript，后端开发，计算机软件,五险一金，节日福利，包吃，包住宿，年终奖，定期体检
Java高级软件工程师,北京,3,15000,30000,本科,国富通,互联网,20-99人,分布式技术，多线程，微服务架构，Spring，Dubbo，MySQL,加班补助，餐补，定期体检，五险一金，节日福利，带薪年假，免费班车，年终奖，补充医疗保险
财税销售顾问,贵阳,5,8000,12000,大专,金财互联,数据服务,1000-9999人,互联网销售，地推销售，电话销售，软件销售，美团，销冠，财税顾问，广告销售,通讯补贴，年终奖，股票期权，员工旅游，餐补，五险一金，带薪年假
Java开发工程师-杭州,杭州,12,15000,20000,本科,邦盛科技,互联网,500-999人,Java，springBoot，风控,五险一金，带薪年假，定期体检，十三薪，节日福利，补充医疗保险，股票期权，年终奖，加班补助，餐补
Java（资深/架构）,上海,4,28000,45000,本科,掌门教育,互联网,10000人以上,分布式技术，多线程，Redis，NoSQL，架构师，flink，flinkSQL ，配置系统,五险一金，年终奖，零食下午茶，带薪年假
医疗事业部高级JAVA开发,长沙,5,9000,12000,本科,科创信息,计算机软件,1000-9999人,分布式技术，前后端,通讯补贴，加班补助，定期体检，年终奖，带薪年假，五险一金，餐补，员工旅游，薪酬，补充医疗保险，交通补助，节日福利
